2026-03-26 23:21:17 [INFO] VisionTrack Edu Web — http://0.0.0.0:5000
2026-03-26 23:21:17 [INFO] Open your browser at  http://localhost:5000
2026-03-26 23:23:10 [INFO] VisionTrack Edu Web — http://0.0.0.0:5000
2026-03-26 23:23:10 [INFO] Open your browser at  http://localhost:5000
2026-03-26 23:23:21 [INFO] Detector starting …
2026-03-26 23:23:21 [INFO] Loading yolov8n.pt …
2026-03-26 23:23:26 [INFO] Opening webcam 0 via DirectShow …
2026-03-26 23:23:28 [INFO] Detection started via web UI.
2026-03-26 23:23:29 [INFO] Frame 000002 | FPS 0.0 | Persons: 1
2026-03-26 23:23:29 [INFO] Frame 000004 | FPS 3.9 | Persons: 1
2026-03-26 23:23:29 [INFO] Frame 000006 | FPS 3.9 | Persons: 1
2026-03-26 23:23:29 [INFO] Frame 000008 | FPS 3.9 | Persons: 1
2026-03-26 23:23:30 [INFO] Frame 000010 | FPS 3.9 | Persons: 1
2026-03-26 23:23:30 [INFO] Frame 000012 | FPS 3.9 | Persons: 1
2026-03-26 23:23:30 [INFO] Frame 000014 | FPS 3.9 | Persons: 1
2026-03-26 23:23:30 [INFO] Frame 000016 | FPS 3.9 | Persons: 1
2026-03-26 23:23:30 [INFO] Frame 000018 | FPS 13.9 | Persons: 1
2026-03-26 23:23:30 [INFO] Frame 000020 | FPS 13.9 | Persons: 1
2026-03-26 23:23:31 [INFO] Frame 000022 | FPS 13.9 | Persons: 1
2026-03-26 23:23:31 [INFO] Frame 000024 | FPS 13.9 | Persons: 1
2026-03-26 23:23:31 [INFO] Frame 000026 | FPS 13.9 | Persons: 1
2026-03-26 23:23:31 [INFO] Frame 000028 | FPS 13.9 | Persons: 1
2026-03-26 23:23:31 [INFO] Frame 000030 | FPS 13.9 | Persons: 1
2026-03-26 23:23:31 [INFO] Frame 000032 | FPS 11.3 | Persons: 1
2026-03-26 23:23:31 [INFO] Frame 000034 | FPS 11.3 | Persons: 1
2026-03-26 23:23:32 [INFO] Frame 000036 | FPS 11.3 | Persons: 1
2026-03-26 23:23:32 [INFO] Frame 000038 | FPS 11.3 | Persons: 1
2026-03-26 23:23:32 [INFO] Frame 000040 | FPS 11.3 | Persons: 1
2026-03-26 23:23:32 [INFO] Frame 000042 | FPS 11.3 | Persons: 1
2026-03-26 23:23:32 [INFO] Frame 000044 | FPS 11.3 | Persons: 1
2026-03-26 23:23:32 [INFO] Frame 000046 | FPS 12.6 | Persons: 1
2026-03-26 23:23:33 [INFO] Frame 000048 | FPS 12.6 | Persons: 1
2026-03-26 23:23:33 [INFO] Frame 000050 | FPS 12.6 | Persons: 1
2026-03-26 23:23:33 [INFO] Frame 000052 | FPS 12.6 | Persons: 1
2026-03-26 23:23:33 [INFO] Frame 000054 | FPS 12.6 | Persons: 1
2026-03-26 23:23:33 [INFO] Frame 000056 | FPS 12.6 | Persons: 1
2026-03-26 23:23:33 [INFO] Frame 000058 | FPS 12.6 | Persons: 1
2026-03-26 23:23:33 [INFO] Frame 000060 | FPS 13.7 | Persons: 1
2026-03-26 23:23:34 [INFO] Frame 000062 | FPS 13.7 | Persons: 1
2026-03-26 23:23:34 [INFO] Frame 000064 | FPS 13.7 | Persons: 1
2026-03-26 23:23:34 [INFO] Frame 000066 | FPS 13.7 | Persons: 1
2026-03-26 23:23:34 [INFO] Frame 000068 | FPS 13.7 | Persons: 1
2026-03-26 23:23:34 [INFO] Frame 000070 | FPS 13.7 | Persons: 1
2026-03-26 23:23:35 [INFO] Frame 000072 | FPS 11.7 | Persons: 1
2026-03-26 23:23:35 [INFO] Frame 000074 | FPS 11.7 | Persons: 1
2026-03-26 23:23:35 [INFO] Frame 000076 | FPS 11.7 | Persons: 1
2026-03-26 23:23:35 [INFO] Frame 000078 | FPS 11.7 | Persons: 1
2026-03-26 23:23:35 [INFO] Frame 000080 | FPS 11.7 | Persons: 1
2026-03-26 23:23:35 [INFO] Frame 000082 | FPS 11.0 | Persons: 1
2026-03-26 23:23:36 [INFO] Frame 000084 | FPS 11.0 | Persons: 1
2026-03-26 23:23:36 [INFO] Frame 000086 | FPS 11.0 | Persons: 1
2026-03-26 23:23:36 [INFO] Frame 000088 | FPS 11.0 | Persons: 1
2026-03-26 23:23:36 [INFO] Frame 000090 | FPS 11.0 | Persons: 1
2026-03-26 23:23:36 [INFO] Frame 000092 | FPS 11.0 | Persons: 1
2026-03-26 23:23:37 [INFO] Frame 000094 | FPS 11.0 | Persons: 1
2026-03-26 23:23:37 [INFO] Frame 000096 | FPS 11.0 | Persons: 1
2026-03-26 23:23:37 [INFO] Frame 000098 | FPS 11.0 | Persons: 1
2026-03-26 23:23:37 [INFO] Frame 000100 | FPS 11.0 | Persons: 1
2026-03-26 23:23:37 [INFO] Frame 000102 | FPS 11.0 | Persons: 1
2026-03-26 23:23:37 [INFO] Frame 000104 | FPS 11.0 | Persons: 1
2026-03-26 23:23:38 [INFO] Frame 000106 | FPS 11.5 | Persons: 1
2026-03-26 23:23:38 [INFO] Frame 000108 | FPS 11.5 | Persons: 1
2026-03-26 23:23:38 [INFO] Frame 000110 | FPS 11.5 | Persons: 1
2026-03-26 23:23:38 [INFO] Frame 000112 | FPS 11.5 | Persons: 1
2026-03-26 23:23:38 [INFO] Frame 000114 | FPS 11.5 | Persons: 1
2026-03-26 23:23:39 [INFO] Frame 000116 | FPS 10.7 | Persons: 1
2026-03-26 23:23:39 [INFO] Frame 000118 | FPS 10.7 | Persons: 1
2026-03-26 23:23:39 [INFO] Frame 000120 | FPS 10.7 | Persons: 1
2026-03-26 23:23:39 [INFO] Frame 000122 | FPS 10.7 | Persons: 1
2026-03-26 23:23:40 [INFO] Frame 000124 | FPS 10.7 | Persons: 1
2026-03-26 23:23:40 [INFO] Frame 000126 | FPS 8.2 | Persons: 1
2026-03-26 23:23:40 [INFO] Frame 000128 | FPS 8.2 | Persons: 1
2026-03-26 23:23:40 [INFO] Frame 000130 | FPS 8.2 | Persons: 1
2026-03-26 23:23:41 [INFO] Frame 000132 | FPS 8.2 | Persons: 1
2026-03-26 23:23:41 [INFO] Frame 000134 | FPS 8.6 | Persons: 1
2026-03-26 23:23:41 [INFO] Frame 000136 | FPS 8.6 | Persons: 1
2026-03-26 23:23:41 [INFO] Frame 000138 | FPS 8.6 | Persons: 1
2026-03-26 23:23:41 [INFO] Frame 000140 | FPS 8.6 | Persons: 1
2026-03-26 23:23:42 [INFO] Frame 000142 | FPS 8.6 | Persons: 1
2026-03-26 23:23:42 [INFO] Frame 000144 | FPS 8.8 | Persons: 1
2026-03-26 23:23:42 [INFO] Frame 000146 | FPS 8.8 | Persons: 1
2026-03-26 23:23:42 [INFO] Frame 000148 | FPS 8.8 | Persons: 1
2026-03-26 23:23:42 [INFO] Frame 000150 | FPS 8.8 | Persons: 1
2026-03-26 23:23:42 [INFO] Frame 000152 | FPS 8.8 | Persons: 1
2026-03-26 23:23:43 [INFO] Frame 000154 | FPS 8.8 | Persons: 1
2026-03-26 23:23:43 [INFO] Frame 000156 | FPS 12.5 | Persons: 1
2026-03-26 23:23:43 [INFO] Frame 000158 | FPS 12.5 | Persons: 1
2026-03-26 23:23:43 [INFO] Frame 000160 | FPS 12.5 | Persons: 1
2026-03-26 23:23:43 [INFO] Frame 000162 | FPS 12.5 | Persons: 1
2026-03-26 23:23:44 [INFO] Frame 000164 | FPS 12.5 | Persons: 1
2026-03-26 23:23:44 [INFO] Frame 000166 | FPS 12.5 | Persons: 1
2026-03-26 23:23:44 [INFO] Frame 000168 | FPS 10.1 | Persons: 1
2026-03-26 23:23:44 [INFO] Frame 000170 | FPS 10.1 | Persons: 1
2026-03-26 23:23:44 [INFO] Frame 000172 | FPS 10.1 | Persons: 1
2026-03-26 23:23:44 [INFO] Frame 000174 | FPS 10.1 | Persons: 1
2026-03-26 23:23:45 [INFO] Frame 000176 | FPS 10.1 | Persons: 1
2026-03-26 23:23:45 [INFO] Frame 000178 | FPS 10.1 | Persons: 1
2026-03-26 23:23:45 [INFO] Frame 000180 | FPS 11.6 | Persons: 1
2026-03-26 23:23:45 [INFO] Frame 000182 | FPS 11.6 | Persons: 1
2026-03-26 23:23:45 [INFO] Frame 000184 | FPS 11.6 | Persons: 1
2026-03-26 23:23:46 [INFO] Frame 000186 | FPS 11.6 | Persons: 1
2026-03-26 23:23:46 [INFO] Frame 000188 | FPS 11.6 | Persons: 1
2026-03-26 23:23:46 [INFO] Frame 000190 | FPS 11.6 | Persons: 1
2026-03-26 23:23:46 [INFO] Frame 000192 | FPS 11.0 | Persons: 1
2026-03-26 23:23:46 [INFO] Frame 000194 | FPS 11.0 | Persons: 1
2026-03-26 23:23:46 [INFO] Frame 000196 | FPS 11.0 | Persons: 1
2026-03-26 23:23:47 [INFO] Frame 000198 | FPS 11.0 | Persons: 1
2026-03-26 23:23:47 [INFO] Frame 000200 | FPS 11.0 | Persons: 1
2026-03-26 23:23:47 [INFO] Frame 000202 | FPS 11.0 | Persons: 1
2026-03-26 23:23:47 [INFO] Frame 000204 | FPS 11.1 | Persons: 1
2026-03-26 23:23:47 [INFO] Frame 000206 | FPS 11.1 | Persons: 1
2026-03-26 23:23:47 [INFO] Frame 000208 | FPS 11.1 | Persons: 1
2026-03-26 23:23:48 [INFO] Frame 000210 | FPS 11.1 | Persons: 1
2026-03-26 23:23:48 [INFO] Frame 000212 | FPS 11.1 | Persons: 1
2026-03-26 23:23:48 [INFO] Frame 000214 | FPS 11.1 | Persons: 1
2026-03-26 23:23:48 [INFO] Frame 000216 | FPS 10.6 | Persons: 1
2026-03-26 23:23:48 [INFO] Frame 000218 | FPS 10.6 | Persons: 1
2026-03-26 23:23:49 [INFO] Frame 000220 | FPS 10.6 | Persons: 1
2026-03-26 23:23:49 [INFO] Frame 000222 | FPS 10.6 | Persons: 1
2026-03-26 23:23:49 [INFO] Frame 000224 | FPS 10.6 | Persons: 1
2026-03-26 23:23:49 [INFO] Frame 000226 | FPS 10.6 | Persons: 1
2026-03-26 23:23:49 [INFO] Frame 000228 | FPS 11.8 | Persons: 1
2026-03-26 23:23:49 [INFO] Frame 000230 | FPS 11.8 | Persons: 1
2026-03-26 23:23:50 [INFO] Frame 000232 | FPS 11.8 | Persons: 1
2026-03-26 23:23:50 [INFO] Frame 000234 | FPS 11.8 | Persons: 1
2026-03-26 23:23:50 [INFO] Frame 000236 | FPS 11.8 | Persons: 1
2026-03-26 23:23:50 [INFO] Frame 000238 | FPS 11.8 | Persons: 1
2026-03-26 23:23:50 [INFO] Frame 000240 | FPS 11.1 | Persons: 1
2026-03-26 23:23:50 [INFO] Frame 000242 | FPS 11.1 | Persons: 1
